■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,797,876円 (+279.79%)

2017年: +774,999円 (+77.5%)
2018年: +2,007,010円 (+200.7%)
2019年: +15,866円 (+1.59%)

2017年04月: +93,964円 (+9.4%)
2017年05月: +24,840円 (+2.48%)
2017年06月: +64,601円 (+6.46%)
2017年07月: +69,696円 (+6.97%)
2017年08月: +70,456円 (+7.05%)
2017年09月: +76,892円 (+7.69%)
2017年10月: +68,067円 (+6.81%)
2017年11月: +154,973円 (+15.5%)
2017年12月: +151,506円 (+15.15%)
2018年01月: +186,822円 (+18.68%)
2018年02月: +283,569円 (+28.36%)
2018年03月: +232,410円 (+23.24%)
2018年04月: +90,380円 (+9.04%)
2018年05月: +99,085円 (+9.91%)
2018年06月: +110,687円 (+11.07%)
2018年07月: +163,761円 (+16.38%)
2018年08月: +170,409円 (+17.04%)
2018年09月: +51,798円 (+5.18%)
2018年10月: +247,648円 (+24.76%)
2018年11月: +50,325円 (+5.03%)
2018年12月: +320,110円 (+32.01%)
2019年01月: +23,244円 (+2.32%)
2019年02月: +13,549円 (+1.35%)
2019年03月: +78,277円 (+7.83%)
2019年04月: -25,913円 (-2.59%)
2019年05月: -9,476円 (-0.95%)
2019年06月: -8,568円 (-0.86%)
2019年07月: +33,512円 (+3.35%)
2019年08月: -96,355円 (-9.64%)
2019年09月: +40,010円 (+4.0%)
2019年10月: +7,444円 (+0.74%)
2019年11月: -39,859円 (-3.99%)

最大:  2018年12月 +320,110円 (+32.01%)
最小:  2019年08月 -96,355円 (-9.64%)

月平均:  +87,433円 (+8.74%) (32ヶ月)
日平均:  +4,392円 (+0.44%) (637営業日)

