■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,669,176円 (+266.92%)

2017年: +749,166円 (+74.92%)
2018年: +2,010,556円 (+201.06%)
2019年: -90,546円 (-9.05%)

2017年04月: +107,383円 (+10.74%)
2017年05月: +54,370円 (+5.44%)
2017年06月: +59,406円 (+5.94%)
2017年07月: +41,848円 (+4.18%)
2017年08月: +60,574円 (+6.06%)
2017年09月: +61,869円 (+6.19%)
2017年10月: +58,317円 (+5.83%)
2017年11月: +158,144円 (+15.81%)
2017年12月: +147,252円 (+14.73%)
2018年01月: +200,704円 (+20.07%)
2018年02月: +289,852円 (+28.99%)
2018年03月: +198,274円 (+19.83%)
2018年04月: +78,355円 (+7.84%)
2018年05月: +104,590円 (+10.46%)
2018年06月: +112,666円 (+11.27%)
2018年07月: +168,544円 (+16.85%)
2018年08月: +161,433円 (+16.14%)
2018年09月: +9,391円 (+0.94%)
2018年10月: +268,815円 (+26.88%)
2018年11月: +102,189円 (+10.22%)
2018年12月: +315,737円 (+31.57%)
2019年01月: +427円 (+0.04%)
2019年02月: +13,611円 (+1.36%)
2019年03月: +27,610円 (+2.76%)
2019年04月: -16,470円 (-1.65%)
2019年05月: -86,812円 (-8.68%)
2019年06月: +35,769円 (+3.58%)
2019年07月: +50,564円 (+5.06%)
2019年08月: -57,769円 (-5.78%)
2019年09月: -35,350円 (-3.54%)
2019年10月: -8,435円 (-0.84%)
2019年11月: -13,691円 (-1.37%)

最大:  2018年12月 +315,737円 (+31.57%)
最小:  2019年05月 -86,812円 (-8.68%)

月平均:  +83,411円 (+8.34%) (32ヶ月)
日平均:  +4,190円 (+0.42%) (637営業日)

