■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,887,929円 (+288.79%)

2017年: +748,116円 (+74.81%)
2018年: +2,005,978円 (+200.6%)
2019年: +133,834円 (+13.38%)

2017年04月: +106,655円 (+10.67%)
2017年05月: +40,641円 (+4.06%)
2017年06月: +76,588円 (+7.66%)
2017年07月: +81,369円 (+8.14%)
2017年08月: +68,994円 (+6.9%)
2017年09月: +75,886円 (+7.59%)
2017年10月: +56,815円 (+5.68%)
2017年11月: +144,608円 (+14.46%)
2017年12月: +96,555円 (+9.66%)
2018年01月: +190,984円 (+19.1%)
2018年02月: +275,733円 (+27.57%)
2018年03月: +208,139円 (+20.81%)
2018年04月: +97,752円 (+9.78%)
2018年05月: +64,240円 (+6.42%)
2018年06月: +125,506円 (+12.55%)
2018年07月: +149,135円 (+14.91%)
2018年08月: +180,114円 (+18.01%)
2018年09月: +21,134円 (+2.11%)
2018年10月: +285,470円 (+28.55%)
2018年11月: +47,929円 (+4.79%)
2018年12月: +359,836円 (+35.98%)
2019年01月: +1,794円 (+0.18%)
2019年02月: +84,508円 (+8.45%)
2019年03月: +83,039円 (+8.3%)
2019年04月: +7,526円 (+0.75%)
2019年05月: +5,145円 (+0.51%)
2019年06月: +56,202円 (+5.62%)
2019年07月: -18,721円 (-1.87%)
2019年08月: -27,943円 (-2.79%)
2019年09月: -11,102円 (-1.11%)
2019年10月: -6,756円 (-0.68%)
2019年11月: -39,859円 (-3.99%)

最大:  2018年12月 +359,836円 (+35.98%)
最小:  2019年11月 -39,859円 (-3.99%)

月平均:  +90,247円 (+9.02%) (32ヶ月)
日平均:  +4,533円 (+0.45%) (637営業日)

