■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,608,329円 (+260.83%)

2017年: +799,106円 (+79.91%)
2018年: +1,800,379円 (+180.04%)
2019年: +8,843円 (+0.88%)

2017年04月: +97,698円 (+9.77%)
2017年05月: +44,038円 (+4.4%)
2017年06月: +51,244円 (+5.12%)
2017年07月: +77,089円 (+7.71%)
2017年08月: +74,025円 (+7.4%)
2017年09月: +82,790円 (+8.28%)
2017年10月: +60,393円 (+6.04%)
2017年11月: +172,734円 (+17.27%)
2017年12月: +139,089円 (+13.91%)
2018年01月: +152,605円 (+15.26%)
2018年02月: +302,755円 (+30.28%)
2018年03月: +194,685円 (+19.47%)
2018年04月: +80,819円 (+8.08%)
2018年05月: +87,947円 (+8.79%)
2018年06月: +108,034円 (+10.8%)
2018年07月: +164,378円 (+16.44%)
2018年08月: +181,661円 (+18.17%)
2018年09月: +54,953円 (+5.5%)
2018年10月: +258,247円 (+25.82%)
2018年11月: +42,837円 (+4.28%)
2018年12月: +171,453円 (+17.15%)
2019年01月: +4,870円 (+0.49%)
2019年02月: +20,283円 (+2.03%)
2019年03月: +41,129円 (+4.11%)
2019年04月: -26,047円 (-2.6%)
2019年05月: +15,412円 (+1.54%)
2019年06月: +3,091円 (+0.31%)
2019年07月: +61,400円 (+6.14%)
2019年08月: -100,901円 (-10.09%)
2019年09月: +4,300円 (+0.43%)
2019年10月: -1,004円 (-0.1%)
2019年11月: -13,691円 (-1.37%)

最大:  2018年02月 +302,755円 (+30.28%)
最小:  2019年08月 -100,901円 (-10.09%)

月平均:  +81,510円 (+8.15%) (32ヶ月)
日平均:  +4,094円 (+0.41%) (637営業日)

