■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +3,034,846円 (+303.48%)

2017年: +809,920円 (+80.99%)
2018年: +2,065,007円 (+206.5%)
2019年: +159,919円 (+15.99%)

2017年04月: +73,530円 (+7.35%)
2017年05月: +43,569円 (+4.36%)
2017年06月: +89,725円 (+8.97%)
2017年07月: +71,817円 (+7.18%)
2017年08月: +69,772円 (+6.98%)
2017年09月: +75,294円 (+7.53%)
2017年10月: +97,475円 (+9.75%)
2017年11月: +138,236円 (+13.82%)
2017年12月: +150,498円 (+15.05%)
2018年01月: +182,067円 (+18.21%)
2018年02月: +300,738円 (+30.07%)
2018年03月: +213,049円 (+21.3%)
2018年04月: +101,646円 (+10.16%)
2018年05月: +86,862円 (+8.69%)
2018年06月: +138,501円 (+13.85%)
2018年07月: +182,035円 (+18.2%)
2018年08月: +177,174円 (+17.72%)
2018年09月: +76,811円 (+7.68%)
2018年10月: +289,197円 (+28.92%)
2018年11月: +15,576円 (+1.56%)
2018年12月: +301,346円 (+30.13%)
2019年01月: +22,852円 (+2.29%)
2019年02月: +10,043円 (+1.0%)
2019年03月: +76,126円 (+7.61%)
2019年04月: +16,836円 (+1.68%)
2019年05月: -17,780円 (-1.78%)
2019年06月: +52,277円 (+5.23%)
2019年07月: +90,287円 (+9.03%)
2019年08月: -57,769円 (-5.78%)
2019年09月: -15,111円 (-1.51%)
2019年10月: +22,015円 (+2.2%)
2019年11月: -39,859円 (-3.99%)

最大:  2018年12月 +301,346円 (+30.13%)
最小:  2019年08月 -57,769円 (-5.78%)

月平均:  +94,838円 (+9.48%) (32ヶ月)
日平均:  +4,764円 (+0.48%) (637営業日)

