■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,828,204円 (+282.82%)

2017年: +750,854円 (+75.09%)
2018年: +2,051,550円 (+205.16%)
2019年: +25,799円 (+2.58%)

2017年04月: +105,702円 (+10.57%)
2017年05月: +61,728円 (+6.17%)
2017年06月: +67,491円 (+6.75%)
2017年07月: +36,763円 (+3.68%)
2017年08月: +51,847円 (+5.18%)
2017年09月: +54,518円 (+5.45%)
2017年10月: +83,702円 (+8.37%)
2017年11月: +148,890円 (+14.89%)
2017年12月: +140,210円 (+14.02%)
2018年01月: +172,256円 (+17.23%)
2018年02月: +300,738円 (+30.07%)
2018年03月: +246,126円 (+24.61%)
2018年04月: +93,885円 (+9.39%)
2018年05月: +112,512円 (+11.25%)
2018年06月: +101,564円 (+10.16%)
2018年07月: +199,277円 (+19.93%)
2018年08月: +191,521円 (+19.15%)
2018年09月: +37,191円 (+3.72%)
2018年10月: +269,596円 (+26.96%)
2018年11月: +123,835円 (+12.38%)
2018年12月: +203,043円 (+20.3%)
2019年01月: +9,855円 (+0.99%)
2019年02月: +41,043円 (+4.1%)
2019年03月: +20,425円 (+2.04%)
2019年04月: -17,283円 (-1.73%)
2019年05月: +5,282円 (+0.53%)
2019年06月: +40,864円 (+4.09%)
2019年07月: +29,916円 (+2.99%)
2019年08月: -79,779円 (-7.98%)
2019年09月: +16,012円 (+1.6%)
2019年10月: +1,768円 (+0.18%)
2019年11月: -42,305円 (-4.23%)

最大:  2018年02月 +300,738円 (+30.07%)
最小:  2019年08月 -79,779円 (-7.98%)

月平均:  +88,381円 (+8.84%) (32ヶ月)
日平均:  +4,439円 (+0.44%) (637営業日)

