■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,842,297円 (+284.23%)

2017年: +779,198円 (+77.92%)
2018年: +1,982,624円 (+198.26%)
2019年: +80,474円 (+8.05%)

2017年04月: +96,678円 (+9.67%)
2017年05月: +34,920円 (+3.49%)
2017年06月: +67,481円 (+6.75%)
2017年07月: +70,190円 (+7.02%)
2017年08月: +45,770円 (+4.58%)
2017年09月: +76,202円 (+7.62%)
2017年10月: +75,983円 (+7.6%)
2017年11月: +164,717円 (+16.47%)
2017年12月: +147,252円 (+14.73%)
2018年01月: +180,218円 (+18.02%)
2018年02月: +300,738円 (+30.07%)
2018年03月: +164,348円 (+16.43%)
2018年04月: +88,289円 (+8.83%)
2018年05月: +82,151円 (+8.22%)
2018年06月: +100,429円 (+10.04%)
2018年07月: +170,921円 (+17.09%)
2018年08月: +190,123円 (+19.01%)
2018年09月: +98,149円 (+9.81%)
2018年10月: +293,680円 (+29.37%)
2018年11月: +4,443円 (+0.44%)
2018年12月: +309,130円 (+30.91%)
2019年01月: +50,229円 (+5.02%)
2019年02月: +50,270円 (+5.03%)
2019年03月: +3,948円 (+0.39%)
2019年04月: +24,484円 (+2.45%)
2019年05月: -30,384円 (-3.04%)
2019年06月: +7,428円 (+0.74%)
2019年07月: +68,465円 (+6.85%)
2019年08月: -80,300円 (-8.03%)
2019年09月: -13,839円 (-1.38%)
2019年10月: +1,487円 (+0.15%)
2019年11月: -1,315円 (-0.13%)

最大:  2018年12月 +309,130円 (+30.91%)
最小:  2019年08月 -80,300円 (-8.03%)

月平均:  +88,821円 (+8.88%) (32ヶ月)
日平均:  +4,462円 (+0.45%) (637営業日)

