■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,615,576円 (+261.56%)

2017年: +763,003円 (+76.3%)
2018年: +1,818,529円 (+181.85%)
2019年: +34,043円 (+3.4%)

2017年04月: +112,430円 (+11.24%)
2017年05月: +41,753円 (+4.18%)
2017年06月: +75,381円 (+7.54%)
2017年07月: +70,252円 (+7.03%)
2017年08月: +54,653円 (+5.47%)
2017年09月: +90,165円 (+9.02%)
2017年10月: +46,907円 (+4.69%)
2017年11月: +124,207円 (+12.42%)
2017年12月: +147,252円 (+14.73%)
2018年01月: +186,822円 (+18.68%)
2018年02月: +289,852円 (+28.99%)
2018年03月: +208,749円 (+20.87%)
2018年04月: +50,066円 (+5.01%)
2018年05月: +86,777円 (+8.68%)
2018年06月: +121,761円 (+12.18%)
2018年07月: +141,426円 (+14.14%)
2018年08月: +180,016円 (+18.0%)
2018年09月: +18,879円 (+1.89%)
2018年10月: +384,393円 (+38.44%)
2018年11月: +50,355円 (+5.04%)
2018年12月: +99,428円 (+9.94%)
2019年01月: +5,651円 (+0.57%)
2019年02月: +21,097円 (+2.11%)
2019年03月: +61,417円 (+6.14%)
2019年04月: -17,031円 (-1.7%)
2019年05月: -41,879円 (-4.19%)
2019年06月: +49,135円 (+4.91%)
2019年07月: +15,584円 (+1.56%)
2019年08月: -90,613円 (-9.06%)
2019年09月: -15,471円 (-1.55%)
2019年10月: +27,046円 (+2.7%)
2019年11月: +19,107円 (+1.91%)

最大:  2018年10月 +384,393円 (+38.44%)
最小:  2019年08月 -90,613円 (-9.06%)

月平均:  +81,736円 (+8.17%) (32ヶ月)
日平均:  +4,106円 (+0.41%) (637営業日)

