■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-02-17〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,468,957円 (+246.9%)

2017年: +848,169円 (+84.82%)
2018年: +1,615,953円 (+161.6%)
2019年: +4,834円 (+0.48%)

2017年02月: +8,025円 (+0.8%)
2017年03月: +134,277円 (+13.43%)
2017年04月: +92,858円 (+9.29%)
2017年05月: +51,776円 (+5.18%)
2017年06月: +62,204円 (+6.22%)
2017年07月: +70,248円 (+7.02%)
2017年08月: +59,328円 (+5.93%)
2017年09月: +72,583円 (+7.26%)
2017年10月: +77,952円 (+7.8%)
2017年11月: +101,727円 (+10.17%)
2017年12月: +117,189円 (+11.72%)
2018年01月: +151,491円 (+15.15%)
2018年02月: +283,237円 (+28.32%)
2018年03月: +239,741円 (+23.97%)
2018年04月: +91,117円 (+9.11%)
2018年05月: +77,713円 (+7.77%)
2018年06月: +55,327円 (+5.53%)
2018年07月: +188,860円 (+18.89%)
2018年08月: +166,075円 (+16.61%)
2018年09月: +32,789円 (+3.28%)
2018年10月: +157,836円 (+15.78%)
2018年11月: +77,227円 (+7.72%)
2018年12月: +94,535円 (+9.45%)
2019年01月: -3,465円 (-0.35%)
2019年02月: +9,494円 (+0.95%)
2019年03月: -8,107円 (-0.81%)
2019年04月: +30,844円 (+3.08%)
2019年05月: -27,792円 (-2.78%)
2019年06月: +36,414円 (+3.64%)
2019年07月: +40,136円 (+4.01%)
2019年08月: -58,386円 (-5.84%)
2019年09月: -9,234円 (-0.92%)
2019年10月: -2,803円 (-0.28%)
2019年11月: -2,266円 (-0.23%)

最大:  2018年02月 +283,237円 (+28.32%)
最小:  2019年08月 -58,386円 (-5.84%)

月平均:  +72,616円 (+7.26%) (34ヶ月)
日平均:  +3,701円 (+0.37%) (667営業日)

