■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,798,909円 (+279.89%)

2017年: +800,770円 (+80.08%)
2018年: +2,024,418円 (+202.44%)
2019年: -26,279円 (-2.63%)

2017年04月: +109,945円 (+10.99%)
2017年05月: +69,832円 (+6.98%)
2017年06月: +54,419円 (+5.44%)
2017年07月: +68,127円 (+6.81%)
2017年08月: +56,510円 (+5.65%)
2017年09月: +75,989円 (+7.6%)
2017年10月: +54,989円 (+5.5%)
2017年11月: +153,356円 (+15.34%)
2017年12月: +157,600円 (+15.76%)
2018年01月: +195,571円 (+19.56%)
2018年02月: +300,738円 (+30.07%)
2018年03月: +225,637円 (+22.56%)
2018年04月: +87,394円 (+8.74%)
2018年05月: +90,510円 (+9.05%)
2018年06月: +102,234円 (+10.22%)
2018年07月: +205,247円 (+20.52%)
2018年08月: +131,273円 (+13.13%)
2018年09月: +32,941円 (+3.29%)
2018年10月: +255,786円 (+25.58%)
2018年11月: +46,869円 (+4.69%)
2018年12月: +350,213円 (+35.02%)
2019年01月: +4円 (+0.0%)
2019年02月: +3,611円 (+0.36%)
2019年03月: +464円 (+0.05%)
2019年04月: -45,147円 (-4.51%)
2019年05月: +8,535円 (+0.85%)
2019年06月: +8,463円 (+0.85%)
2019年07月: +36,535円 (+3.65%)
2019年08月: -54,492円 (-5.45%)
2019年09月: +32,358円 (+3.24%)
2019年10月: +15,420円 (+1.54%)
2019年11月: -32,033円 (-3.2%)

最大:  2018年12月 +350,213円 (+35.02%)
最小:  2019年08月 -54,492円 (-5.45%)

月平均:  +87,465円 (+8.75%) (32ヶ月)
日平均:  +4,393円 (+0.44%) (637営業日)

