■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,797,008円 (+279.7%)

2017年: +747,979円 (+74.8%)
2018年: +2,023,625円 (+202.36%)
2019年: +25,403円 (+2.54%)

2017年04月: +85,337円 (+8.53%)
2017年05月: +37,636円 (+3.76%)
2017年06月: +29,447円 (+2.94%)
2017年07月: +82,445円 (+8.24%)
2017年08月: +41,718円 (+4.17%)
2017年09月: +62,695円 (+6.27%)
2017年10月: +102,370円 (+10.24%)
2017年11月: +178,373円 (+17.84%)
2017年12月: +127,955円 (+12.8%)
2018年01月: +175,923円 (+17.59%)
2018年02月: +287,395円 (+28.74%)
2018年03月: +164,791円 (+16.48%)
2018年04月: +103,370円 (+10.34%)
2018年05月: +86,887円 (+8.69%)
2018年06月: +99,519円 (+9.95%)
2018年07月: +170,249円 (+17.02%)
2018年08月: +181,885円 (+18.19%)
2018年09月: +76,920円 (+7.69%)
2018年10月: +325,334円 (+32.53%)
2018年11月: +43,374円 (+4.34%)
2018年12月: +307,974円 (+30.8%)
2019年01月: +20,470円 (+2.05%)
2019年02月: +5,033円 (+0.5%)
2019年03月: +65,980円 (+6.6%)
2019年04月: +30,089円 (+3.01%)
2019年05月: -82,170円 (-8.22%)
2019年06月: +42,667円 (+4.27%)
2019年07月: +81,522円 (+8.15%)
2019年08月: -80,380円 (-8.04%)
2019年09月: -4,035円 (-0.4%)
2019年10月: -7,391円 (-0.74%)
2019年11月: -46,383円 (-4.64%)

最大:  2018年10月 +325,334円 (+32.53%)
最小:  2019年05月 -82,170円 (-8.22%)

月平均:  +87,406円 (+8.74%) (32ヶ月)
日平均:  +4,390円 (+0.44%) (637営業日)

