■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-02-02〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,447,992円 (+244.8%)

2017年: +819,354円 (+81.94%)
2018年: +1,717,787円 (+171.78%)
2019年: -89,150円 (-8.92%)

2017年02月: +117,539円 (+11.75%)
2017年03月: +137,882円 (+13.79%)
2017年04月: +73,094円 (+7.31%)
2017年05月: +52,442円 (+5.24%)
2017年06月: +48,043円 (+4.8%)
2017年07月: +41,852円 (+4.19%)
2017年08月: +47,448円 (+4.74%)
2017年09月: +43,528円 (+4.35%)
2017年10月: +44,716円 (+4.47%)
2017年11月: +65,552円 (+6.56%)
2017年12月: +147,252円 (+14.73%)
2018年01月: +166,536円 (+16.65%)
2018年02月: +289,852円 (+28.99%)
2018年03月: +193,615円 (+19.36%)
2018年04月: +72,766円 (+7.28%)
2018年05月: +83,735円 (+8.37%)
2018年06月: +85,307円 (+8.53%)
2018年07月: +132,355円 (+13.24%)
2018年08月: +91,732円 (+9.17%)
2018年09月: +74,132円 (+7.41%)
2018年10月: +256,204円 (+25.62%)
2018年11月: +1,589円 (+0.16%)
2018年12月: +269,959円 (+27.0%)
2019年01月: +27,011円 (+2.7%)
2019年02月: -33,155円 (-3.32%)
2019年03月: +37,123円 (+3.71%)
2019年04月: +141円 (+0.01%)
2019年05月: -47,585円 (-4.76%)
2019年06月: +21,645円 (+2.16%)
2019年07月: +88,382円 (+8.84%)
2019年08月: -89,020円 (-8.9%)
2019年09月: -49,748円 (-4.97%)
2019年10月: -4,085円 (-0.41%)
2019年11月: -39,859円 (-3.99%)

最大:  2018年02月 +289,852円 (+28.99%)
最小:  2019年08月 -89,020円 (-8.9%)

月平均:  +71,999円 (+7.2%) (34ヶ月)
日平均:  +3,610円 (+0.36%) (678営業日)

