■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,980,904円 (+298.09%)

2017年: +904,089円 (+90.41%)
2018年: +2,082,677円 (+208.27%)
2019年: -5,862円 (-0.59%)

2017年04月: +110,291円 (+11.03%)
2017年05月: +71,990円 (+7.2%)
2017年06月: +86,598円 (+8.66%)
2017年07月: +97,337円 (+9.73%)
2017年08月: +57,658円 (+5.77%)
2017年09月: +77,544円 (+7.75%)
2017年10月: +86,019円 (+8.6%)
2017年11月: +186,510円 (+18.65%)
2017年12月: +130,140円 (+13.01%)
2018年01月: +182,819円 (+18.28%)
2018年02月: +300,738円 (+30.07%)
2018年03月: +210,632円 (+21.06%)
2018年04月: +92,249円 (+9.22%)
2018年05月: +82,215円 (+8.22%)
2018年06月: +122,800円 (+12.28%)
2018年07月: +143,557円 (+14.36%)
2018年08月: +180,519円 (+18.05%)
2018年09月: +63,494円 (+6.35%)
2018年10月: +314,361円 (+31.44%)
2018年11月: +43,331円 (+4.33%)
2018年12月: +345,956円 (+34.6%)
2019年01月: +3,990円 (+0.4%)
2019年02月: +14,662円 (+1.47%)
2019年03月: +15,510円 (+1.55%)
2019年04月: +13,995円 (+1.4%)
2019年05月: -13,536円 (-1.35%)
2019年06月: +19,447円 (+1.94%)
2019年07月: +14,886円 (+1.49%)
2019年08月: -77,285円 (-7.73%)
2019年09月: -3,801円 (-0.38%)
2019年10月: +29,510円 (+2.95%)
2019年11月: -23,242円 (-2.32%)

最大:  2018年12月 +345,956円 (+34.6%)
最小:  2019年08月 -77,285円 (-7.73%)

月平均:  +93,153円 (+9.32%) (32ヶ月)
日平均:  +4,679円 (+0.47%) (637営業日)

