■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-02-17〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,176,810円 (+217.68%)

2017年: +678,872円 (+67.89%)
2018年: +1,579,235円 (+157.92%)
2019年: -81,297円 (-8.13%)

2017年02月: +25,229円 (+2.52%)
2017年03月: +123,837円 (+12.38%)
2017年04月: +57,540円 (+5.75%)
2017年05月: +33,657円 (+3.37%)
2017年06月: +60,284円 (+6.03%)
2017年07月: +74,905円 (+7.49%)
2017年08月: +39,688円 (+3.97%)
2017年09月: +43,349円 (+4.33%)
2017年10月: +33,421円 (+3.34%)
2017年11月: +71,217円 (+7.12%)
2017年12月: +115,740円 (+11.57%)
2018年01月: +122,113円 (+12.21%)
2018年02月: +259,944円 (+25.99%)
2018年03月: +193,615円 (+19.36%)
2018年04月: +102,915円 (+10.29%)
2018年05月: +74,871円 (+7.49%)
2018年06月: +26,591円 (+2.66%)
2018年07月: +124,378円 (+12.44%)
2018年08月: +129,335円 (+12.93%)
2018年09月: +32,941円 (+3.29%)
2018年10月: +311,289円 (+31.13%)
2018年11月: -9,198円 (-0.92%)
2018年12月: +210,436円 (+21.04%)
2019年01月: +9,855円 (+0.99%)
2019年02月: +41,061円 (+4.11%)
2019年03月: +12,796円 (+1.28%)
2019年04月: -16,470円 (-1.65%)
2019年05月: -15,749円 (-1.57%)
2019年06月: +10,221円 (+1.02%)
2019年07月: +28,403円 (+2.84%)
2019年08月: -67,363円 (-6.74%)
2019年09月: -52,376円 (-5.24%)
2019年10月: +356円 (+0.04%)
2019年11月: -32,033円 (-3.2%)

最大:  2018年10月 +311,289円 (+31.13%)
最小:  2019年08月 -67,363円 (-6.74%)

月平均:  +64,023円 (+6.4%) (34ヶ月)
日平均:  +3,263円 (+0.33%) (667営業日)

