■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,582,927円 (+258.29%)

2017年: +806,973円 (+80.7%)
2018年: +1,893,708円 (+189.37%)
2019年: -117,753円 (-11.78%)

2017年04月: +119,661円 (+11.97%)
2017年05月: +49,840円 (+4.98%)
2017年06月: +73,901円 (+7.39%)
2017年07月: +64,783円 (+6.48%)
2017年08月: +79,127円 (+7.91%)
2017年09月: +86,308円 (+8.63%)
2017年10月: +73,869円 (+7.39%)
2017年11月: +132,496円 (+13.25%)
2017年12月: +126,983円 (+12.7%)
2018年01月: +186,622円 (+18.66%)
2018年02月: +302,755円 (+30.28%)
2018年03月: +230,215円 (+23.02%)
2018年04月: +95,543円 (+9.55%)
2018年05月: +88,890円 (+8.89%)
2018年06月: +110,915円 (+11.09%)
2018年07月: +131,632円 (+13.16%)
2018年08月: +117,787円 (+11.78%)
2018年09月: +41,820円 (+4.18%)
2018年10月: +285,470円 (+28.55%)
2018年11月: +12,691円 (+1.27%)
2018年12月: +289,362円 (+28.94%)
2019年01月: +15,562円 (+1.56%)
2019年02月: +9,133円 (+0.91%)
2019年03月: +10,555円 (+1.06%)
2019年04月: -19,257円 (-1.93%)
2019年05月: -10,261円 (-1.03%)
2019年06月: +11,423円 (+1.14%)
2019年07月: -17,412円 (-1.74%)
2019年08月: -100,503円 (-10.05%)
2019年09月: +3,953円 (+0.4%)
2019年10月: +413円 (+0.04%)
2019年11月: -21,361円 (-2.14%)

最大:  2018年02月 +302,755円 (+30.28%)
最小:  2019年08月 -100,503円 (-10.05%)

月平均:  +80,716円 (+8.07%) (32ヶ月)
日平均:  +4,054円 (+0.41%) (637営業日)

