■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-17〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,935,139円 (+293.51%)

2017年: +801,330円 (+80.13%)
2018年: +2,028,117円 (+202.81%)
2019年: +105,691円 (+10.57%)

2017年04月: +35,570円 (+3.56%)
2017年05月: +50,066円 (+5.01%)
2017年06月: +80,253円 (+8.03%)
2017年07月: +75,494円 (+7.55%)
2017年08月: +57,465円 (+5.75%)
2017年09月: +84,132円 (+8.41%)
2017年10月: +109,014円 (+10.9%)
2017年11月: +152,727円 (+15.27%)
2017年12月: +156,605円 (+15.66%)
2018年01月: +177,356円 (+17.74%)
2018年02月: +289,852円 (+28.99%)
2018年03月: +214,827円 (+21.48%)
2018年04月: +78,715円 (+7.87%)
2018年05月: +73,380円 (+7.34%)
2018年06月: +125,846円 (+12.58%)
2018年07月: +197,669円 (+19.77%)
2018年08月: +220,873円 (+22.09%)
2018年09月: +76,127円 (+7.61%)
2018年10月: +268,815円 (+26.88%)
2018年11月: +28,433円 (+2.84%)
2018年12月: +276,219円 (+27.62%)
2019年01月: +12,831円 (+1.28%)
2019年02月: +69,338円 (+6.93%)
2019年03月: +68,295円 (+6.83%)
2019年04月: -37,418円 (-3.74%)
2019年05月: -1,881円 (-0.19%)
2019年06月: +63,165円 (+6.32%)
2019年07月: +22,500円 (+2.25%)
2019年08月: -74,040円 (-7.4%)
2019年09月: -28,197円 (-2.82%)
2019年10月: +19,928円 (+1.99%)
2019年11月: -8,829円 (-0.88%)

最大:  2018年02月 +289,852円 (+28.99%)
最小:  2019年08月 -74,040円 (-7.4%)

月平均:  +91,723円 (+9.17%) (32ヶ月)
日平均:  +4,681円 (+0.47%) (627営業日)

