■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,754,746円 (+275.47%)

2017年: +794,893円 (+79.49%)
2018年: +1,877,336円 (+187.73%)
2019年: +82,516円 (+8.25%)

2017年04月: +87,373円 (+8.74%)
2017年05月: +72,094円 (+7.21%)
2017年06月: +84,895円 (+8.49%)
2017年07月: +53,551円 (+5.36%)
2017年08月: +64,755円 (+6.48%)
2017年09月: +59,080円 (+5.91%)
2017年10月: +98,211円 (+9.82%)
2017年11月: +137,779円 (+13.78%)
2017年12月: +137,151円 (+13.72%)
2018年01月: +192,425円 (+19.24%)
2018年02月: +288,487円 (+28.85%)
2018年03月: +228,077円 (+22.81%)
2018年04月: +94,564円 (+9.46%)
2018年05月: +68,672円 (+6.87%)
2018年06月: +85,968円 (+8.6%)
2018年07月: +179,000円 (+17.9%)
2018年08月: +177,323円 (+17.73%)
2018年09月: +48,721円 (+4.87%)
2018年10月: +224,418円 (+22.44%)
2018年11月: +109,657円 (+10.97%)
2018年12月: +180,018円 (+18.0%)
2019年01月: +20,208円 (+2.02%)
2019年02月: +20,229円 (+2.02%)
2019年03月: +49,796円 (+4.98%)
2019年04月: -2,844円 (-0.28%)
2019年05月: -27,747円 (-2.77%)
2019年06月: +5,761円 (+0.58%)
2019年07月: +50,419円 (+5.04%)
2019年08月: -67,132円 (-6.71%)
2019年09月: +41,733円 (+4.17%)
2019年10月: +12,483円 (+1.25%)
2019年11月: -20,392円 (-2.04%)

最大:  2018年02月 +288,487円 (+28.85%)
最小:  2019年08月 -67,132円 (-6.71%)

月平均:  +86,085円 (+8.61%) (32ヶ月)
日平均:  +4,324円 (+0.43%) (637営業日)

