■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-02-17〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,685,374円 (+268.54%)

2017年: +834,379円 (+83.44%)
2018年: +1,874,814円 (+187.48%)
2019年: -23,819円 (-2.38%)

2017年02月: +23,435円 (+2.34%)
2017年03月: +123,008円 (+12.3%)
2017年04月: +109,520円 (+10.95%)
2017年05月: +18,543円 (+1.85%)
2017年06月: +57,939円 (+5.79%)
2017年07月: +49,914円 (+4.99%)
2017年08月: +66,339円 (+6.63%)
2017年09月: +70,847円 (+7.08%)
2017年10月: +61,832円 (+6.18%)
2017年11月: +136,631円 (+13.66%)
2017年12月: +116,365円 (+11.64%)
2018年01月: +153,112円 (+15.31%)
2018年02月: +302,755円 (+30.28%)
2018年03月: +247,391円 (+24.74%)
2018年04月: +62,327円 (+6.23%)
2018年05月: +81,412円 (+8.14%)
2018年06月: +87,886円 (+8.79%)
2018年07月: +153,314円 (+15.33%)
2018年08月: +196,836円 (+19.68%)
2018年09月: +31,237円 (+3.12%)
2018年10月: +313,446円 (+31.34%)
2018年11月: +27,753円 (+2.78%)
2018年12月: +217,340円 (+21.73%)
2019年01月: +49,158円 (+4.92%)
2019年02月: -82,404円 (-8.24%)
2019年03月: +76,871円 (+7.69%)
2019年04月: +20,168円 (+2.02%)
2019年05月: +23,249円 (+2.32%)
2019年06月: +54,167円 (+5.42%)
2019年07月: +38,770円 (+3.88%)
2019年08月: -96,355円 (-9.64%)
2019年09月: -54,856円 (-5.49%)
2019年10月: -12,729円 (-1.27%)
2019年11月: -39,859円 (-3.99%)

最大:  2018年10月 +313,446円 (+31.34%)
最小:  2019年08月 -96,355円 (-9.64%)

月平均:  +78,981円 (+7.9%) (34ヶ月)
日平均:  +4,026円 (+0.4%) (667営業日)

