■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,845,059円 (+284.51%)

2017年: +784,382円 (+78.44%)
2018年: +2,080,657円 (+208.07%)
2019年: -19,981円 (-2.0%)

2017年04月: +97,093円 (+9.71%)
2017年05月: +44,220円 (+4.42%)
2017年06月: +67,994円 (+6.8%)
2017年07月: +78,594円 (+7.86%)
2017年08月: +61,287円 (+6.13%)
2017年09月: +56,157円 (+5.62%)
2017年10月: +90,845円 (+9.08%)
2017年11月: +136,701円 (+13.67%)
2017年12月: +151,488円 (+15.15%)
2018年01月: +174,919円 (+17.49%)
2018年02月: +289,852円 (+28.99%)
2018年03月: +230,004円 (+23.0%)
2018年04月: +110,239円 (+11.02%)
2018年05月: +82,462円 (+8.25%)
2018年06月: +145,406円 (+14.54%)
2018年07月: +172,518円 (+17.25%)
2018年08月: +189,666円 (+18.97%)
2018年09月: +59,440円 (+5.94%)
2018年10月: +240,183円 (+24.02%)
2018年11月: +71,736円 (+7.17%)
2018年12月: +314,227円 (+31.42%)
2019年01月: +15,167円 (+1.52%)
2019年02月: +17,463円 (+1.75%)
2019年03月: +32,596円 (+3.26%)
2019年04月: -23,678円 (-2.37%)
2019年05月: -34,021円 (-3.4%)
2019年06月: +22,856円 (+2.29%)
2019年07月: +52,900円 (+5.29%)
2019年08月: -73,095円 (-7.31%)
2019年09月: +17,037円 (+1.7%)
2019年10月: -7,349円 (-0.73%)
2019年11月: -39,859円 (-3.99%)

最大:  2018年12月 +314,227円 (+31.42%)
最小:  2019年08月 -73,095円 (-7.31%)

月平均:  +88,908円 (+8.89%) (32ヶ月)
日平均:  +4,466円 (+0.45%) (637営業日)

