■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,859,755円 (+285.98%)

2017年: +796,266円 (+79.63%)
2018年: +2,052,655円 (+205.27%)
2019年: +10,833円 (+1.08%)

2017年04月: +125,300円 (+12.53%)
2017年05月: +69,743円 (+6.97%)
2017年06月: +69,039円 (+6.9%)
2017年07月: +68,795円 (+6.88%)
2017年08月: +45,136円 (+4.51%)
2017年09月: +63,628円 (+6.36%)
2017年10月: +78,432円 (+7.84%)
2017年11月: +147,075円 (+14.71%)
2017年12月: +129,114円 (+12.91%)
2018年01月: +151,981円 (+15.2%)
2018年02月: +289,852円 (+28.99%)
2018年03月: +232,410円 (+23.24%)
2018年04月: +95,830円 (+9.58%)
2018年05月: +90,665円 (+9.07%)
2018年06月: +133,741円 (+13.37%)
2018年07月: +166,557円 (+16.66%)
2018年08月: +143,026円 (+14.3%)
2018年09月: +21,065円 (+2.11%)
2018年10月: +313,007円 (+31.3%)
2018年11月: +46,019円 (+4.6%)
2018年12月: +368,497円 (+36.85%)
2019年01月: +51,376円 (+5.14%)
2019年02月: +75,114円 (+7.51%)
2019年03月: +51,102円 (+5.11%)
2019年04月: -32,546円 (-3.25%)
2019年05月: -70,197円 (-7.02%)
2019年06月: +17,313円 (+1.73%)
2019年07月: +28,236円 (+2.82%)
2019年08月: -57,769円 (-5.78%)
2019年09月: -1,560円 (-0.16%)
2019年10月: -10,378円 (-1.04%)
2019年11月: -39,859円 (-3.99%)

最大:  2018年12月 +368,497円 (+36.85%)
最小:  2019年05月 -70,197円 (-7.02%)

月平均:  +89,367円 (+8.94%) (32ヶ月)
日平均:  +4,489円 (+0.45%) (637営業日)

