■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,813,475円 (+281.35%)

2017年: +833,301円 (+83.33%)
2018年: +2,042,542円 (+204.25%)
2019年: -62,368円 (-6.24%)

2017年04月: +101,661円 (+10.17%)
2017年05月: +61,762円 (+6.18%)
2017年06月: +63,702円 (+6.37%)
2017年07月: +86,472円 (+8.65%)
2017年08月: +55,873円 (+5.59%)
2017年09月: +79,111円 (+7.91%)
2017年10月: +82,621円 (+8.26%)
2017年11月: +175,882円 (+17.59%)
2017年12月: +126,213円 (+12.62%)
2018年01月: +169,638円 (+16.96%)
2018年02月: +281,564円 (+28.16%)
2018年03月: +218,550円 (+21.86%)
2018年04月: +77,936円 (+7.79%)
2018年05月: +77,776円 (+7.78%)
2018年06月: +121,868円 (+12.19%)
2018年07月: +159,949円 (+15.99%)
2018年08月: +227,843円 (+22.78%)
2018年09月: +32,941円 (+3.29%)
2018年10月: +291,901円 (+29.19%)
2018年11月: +44,766円 (+4.48%)
2018年12月: +337,805円 (+33.78%)
2019年01月: +4,229円 (+0.42%)
2019年02月: +11,686円 (+1.17%)
2019年03月: +31,992円 (+3.2%)
2019年04月: -47,058円 (-4.71%)
2019年05月: -35,127円 (-3.51%)
2019年06月: +2,361円 (+0.24%)
2019年07月: +59,017円 (+5.9%)
2019年08月: -89,267円 (-8.93%)
2019年09月: -8,966円 (-0.9%)
2019年10月: +11,032円 (+1.1%)
2019年11月: -2,266円 (-0.23%)

最大:  2018年12月 +337,805円 (+33.78%)
最小:  2019年08月 -89,267円 (-8.93%)

月平均:  +87,921円 (+8.79%) (32ヶ月)
日平均:  +4,416円 (+0.44%) (637営業日)

