■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +3,116,550円 (+311.66%)

2017年: +908,593円 (+90.86%)
2018年: +2,140,009円 (+214.0%)
2019年: +67,948円 (+6.79%)

2017年04月: +127,324円 (+12.73%)
2017年05月: +63,385円 (+6.34%)
2017年06月: +74,487円 (+7.45%)
2017年07月: +84,337円 (+8.43%)
2017年08月: +67,327円 (+6.73%)
2017年09月: +82,995円 (+8.3%)
2017年10月: +83,063円 (+8.31%)
2017年11月: +169,067円 (+16.91%)
2017年12月: +156,605円 (+15.66%)
2018年01月: +182,373円 (+18.24%)
2018年02月: +302,755円 (+30.28%)
2018年03月: +210,652円 (+21.07%)
2018年04月: +78,775円 (+7.88%)
2018年05月: +88,526円 (+8.85%)
2018年06月: +133,990円 (+13.4%)
2018年07月: +161,853円 (+16.19%)
2018年08月: +200,668円 (+20.07%)
2018年09月: +61,007円 (+6.1%)
2018年10月: +285,470円 (+28.55%)
2018年11月: +116,283円 (+11.63%)
2018年12月: +317,650円 (+31.77%)
2019年01月: +67,315円 (+6.73%)
2019年02月: +6,327円 (+0.63%)
2019年03月: +51,618円 (+5.16%)
2019年04月: +141円 (+0.01%)
2019年05月: -60,346円 (-6.03%)
2019年06月: +63,937円 (+6.39%)
2019年07月: +56,109円 (+5.61%)
2019年08月: -105,968円 (-10.6%)
2019年09月: +727円 (+0.07%)
2019年10月: +5,489円 (+0.55%)
2019年11月: -17,402円 (-1.74%)

最大:  2018年12月 +317,650円 (+31.77%)
最小:  2019年08月 -105,968円 (-10.6%)

月平均:  +97,392円 (+9.74%) (32ヶ月)
日平均:  +4,892円 (+0.49%) (637営業日)

