■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,807,357円 (+280.74%)

2017年: +860,059円 (+86.01%)
2018年: +1,910,102円 (+191.01%)
2019年: +37,195円 (+3.72%)

2017年04月: +94,200円 (+9.42%)
2017年05月: +77,055円 (+7.71%)
2017年06月: +63,426円 (+6.34%)
2017年07月: +63,368円 (+6.34%)
2017年08月: +76,679円 (+7.67%)
2017年09月: +76,815円 (+7.68%)
2017年10月: +98,321円 (+9.83%)
2017年11月: +158,703円 (+15.87%)
2017年12月: +151,488円 (+15.15%)
2018年01月: +174,919円 (+17.49%)
2018年02月: +249,389円 (+24.94%)
2018年03月: +221,420円 (+22.14%)
2018年04月: +92,595円 (+9.26%)
2018年05月: +90,273円 (+9.03%)
2018年06月: +135,422円 (+13.54%)
2018年07月: +153,092円 (+15.31%)
2018年08月: +134,982円 (+13.5%)
2018年09月: +51,616円 (+5.16%)
2018年10月: +279,583円 (+27.96%)
2018年11月: +97,630円 (+9.76%)
2018年12月: +229,174円 (+22.92%)
2019年01月: +25,776円 (+2.58%)
2019年02月: +2,547円 (+0.25%)
2019年03月: +91,927円 (+9.19%)
2019年04月: +28,959円 (+2.9%)
2019年05月: -70,908円 (-7.09%)
2019年06月: -2,272円 (-0.23%)
2019年07月: +32,160円 (+3.22%)
2019年08月: -79,668円 (-7.97%)
2019年09月: +26,776円 (+2.68%)
2019年10月: -4,409円 (-0.44%)
2019年11月: -13,691円 (-1.37%)

最大:  2018年10月 +279,583円 (+27.96%)
最小:  2019年08月 -79,668円 (-7.97%)

月平均:  +87,729円 (+8.77%) (32ヶ月)
日平均:  +4,407円 (+0.44%) (637営業日)

