■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,850,782円 (+285.08%)

2017年: +818,725円 (+81.87%)
2018年: +2,042,737円 (+204.27%)
2019年: -10,681円 (-1.07%)

2017年04月: +106,191円 (+10.62%)
2017年05月: +41,991円 (+4.2%)
2017年06月: +68,602円 (+6.86%)
2017年07月: +79,790円 (+7.98%)
2017年08月: +59,103円 (+5.91%)
2017年09月: +74,932円 (+7.49%)
2017年10月: +88,686円 (+8.87%)
2017年11月: +153,119円 (+15.31%)
2017年12月: +146,307円 (+14.63%)
2018年01月: +180,931円 (+18.09%)
2018年02月: +294,439円 (+29.44%)
2018年03月: +232,410円 (+23.24%)
2018年04月: +74,530円 (+7.45%)
2018年05月: +77,953円 (+7.8%)
2018年06月: +115,002円 (+11.5%)
2018年07月: +157,413円 (+15.74%)
2018年08月: +190,447円 (+19.04%)
2018年09月: +72,398円 (+7.24%)
2018年10月: +264,954円 (+26.5%)
2018年11月: +6,791円 (+0.68%)
2018年12月: +375,463円 (+37.55%)
2019年01月: +3,661円 (+0.37%)
2019年02月: +48,368円 (+4.84%)
2019年03月: +45,187円 (+4.52%)
2019年04月: -32,546円 (-3.25%)
2019年05月: -23,883円 (-2.39%)
2019年06月: +27,349円 (+2.73%)
2019年07月: +5,424円 (+0.54%)
2019年08月: -92,182円 (-9.22%)
2019年09月: +18,087円 (+1.81%)
2019年10月: +10,244円 (+1.02%)
2019年11月: -20,392円 (-2.04%)

最大:  2018年12月 +375,463円 (+37.55%)
最小:  2019年08月 -92,182円 (-9.22%)

月平均:  +89,086円 (+8.91%) (32ヶ月)
日平均:  +4,475円 (+0.45%) (637営業日)

