■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,744,783円 (+274.48%)

2017年: +821,238円 (+82.12%)
2018年: +1,994,025円 (+199.4%)
2019年: -70,480円 (-7.05%)

2017年04月: +88,644円 (+8.86%)
2017年05月: +60,281円 (+6.03%)
2017年06月: +82,310円 (+8.23%)
2017年07月: +85,321円 (+8.53%)
2017年08月: +54,677円 (+5.47%)
2017年09月: +68,446円 (+6.84%)
2017年10月: +103,776円 (+10.38%)
2017年11月: +150,981円 (+15.1%)
2017年12月: +126,797円 (+12.68%)
2018年01月: +182,320円 (+18.23%)
2018年02月: +287,146円 (+28.71%)
2018年03月: +232,410円 (+23.24%)
2018年04月: +74,069円 (+7.41%)
2018年05月: +102,611円 (+10.26%)
2018年06月: +126,218円 (+12.62%)
2018年07月: +196,022円 (+19.6%)
2018年08月: +201,031円 (+20.1%)
2018年09月: +97,966円 (+9.8%)
2018年10月: +228,301円 (+22.83%)
2018年11月: +52,261円 (+5.23%)
2018年12月: +213,666円 (+21.37%)
2019年01月: +15,498円 (+1.55%)
2019年02月: +34,453円 (+3.45%)
2019年03月: +39,816円 (+3.98%)
2019年04月: +13,995円 (+1.4%)
2019年05月: -87,212円 (-8.72%)
2019年06月: -18,787円 (-1.88%)
2019年07月: +49,401円 (+4.94%)
2019年08月: -74,643円 (-7.46%)
2019年09月: -2,769円 (-0.28%)
2019年10月: -12,420円 (-1.24%)
2019年11月: -27,812円 (-2.78%)

最大:  2018年02月 +287,146円 (+28.71%)
最小:  2019年05月 -87,212円 (-8.72%)

月平均:  +85,774円 (+8.58%) (32ヶ月)
日平均:  +4,308円 (+0.43%) (637営業日)

