■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,843,618円 (+284.36%)

2017年: +824,008円 (+82.4%)
2018年: +2,059,407円 (+205.94%)
2019年: -39,797円 (-3.98%)

2017年04月: +102,291円 (+10.23%)
2017年05月: +62,657円 (+6.27%)
2017年06月: +62,670円 (+6.27%)
2017年07月: +49,297円 (+4.93%)
2017年08月: +37,145円 (+3.71%)
2017年09月: +70,431円 (+7.04%)
2017年10月: +114,052円 (+11.41%)
2017年11月: +178,209円 (+17.82%)
2017年12月: +147,252円 (+14.73%)
2018年01月: +145,289円 (+14.53%)
2018年02月: +313,744円 (+31.37%)
2018年03月: +231,905円 (+23.19%)
2018年04月: +82,137円 (+8.21%)
2018年05月: +96,175円 (+9.62%)
2018年06月: +121,975円 (+12.2%)
2018年07月: +181,752円 (+18.18%)
2018年08月: +202,662円 (+20.27%)
2018年09月: +68,058円 (+6.81%)
2018年10月: +305,906円 (+30.59%)
2018年11月: +3,851円 (+0.39%)
2018年12月: +305,946円 (+30.59%)
2019年01月: +34,905円 (+3.49%)
2019年02月: +21,097円 (+2.11%)
2019年03月: +90,286円 (+9.03%)
2019年04月: +13,798円 (+1.38%)
2019年05月: -35,976円 (-3.6%)
2019年06月: -14,743円 (-1.47%)
2019年07月: -13,473円 (-1.35%)
2019年08月: -74,040円 (-7.4%)
2019年09月: -14,685円 (-1.47%)
2019年10月: -7,106円 (-0.71%)
2019年11月: -39,859円 (-3.99%)

最大:  2018年02月 +313,744円 (+31.37%)
最小:  2019年08月 -74,040円 (-7.4%)

月平均:  +88,863円 (+8.89%) (32ヶ月)
日平均:  +4,464円 (+0.45%) (637営業日)

