■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,573,802円 (+257.38%)

2017年: +759,567円 (+75.96%)
2018年: +1,868,363円 (+186.84%)
2019年: -54,128円 (-5.41%)

2017年04月: +53,620円 (+5.36%)
2017年05月: +64,599円 (+6.46%)
2017年06月: +37,055円 (+3.71%)
2017年07月: +54,047円 (+5.4%)
2017年08月: +50,415円 (+5.04%)
2017年09月: +82,542円 (+8.25%)
2017年10月: +113,165円 (+11.32%)
2017年11月: +156,142円 (+15.61%)
2017年12月: +147,979円 (+14.8%)
2018年01月: +175,923円 (+17.59%)
2018年02月: +313,744円 (+31.37%)
2018年03月: +178,184円 (+17.82%)
2018年04月: +112,974円 (+11.3%)
2018年05月: +86,519円 (+8.65%)
2018年06月: +108,395円 (+10.84%)
2018年07月: +160,295円 (+16.03%)
2018年08月: +167,503円 (+16.75%)
2018年09月: +70,084円 (+7.01%)
2018年10月: +261,492円 (+26.15%)
2018年11月: +61,204円 (+6.12%)
2018年12月: +172,040円 (+17.2%)
2019年01月: +10,119円 (+1.01%)
2019年02月: +10,042円 (+1.0%)
2019年03月: +63,782円 (+6.38%)
2019年04月: +14,987円 (+1.5%)
2019年05月: -96,498円 (-9.65%)
2019年06月: +2,696円 (+0.27%)
2019年07月: +2,778円 (+0.28%)
2019年08月: -60,813円 (-6.08%)
2019年09月: +33,920円 (+3.39%)
2019年10月: -21,453円 (-2.15%)
2019年11月: -13,691円 (-1.37%)

最大:  2018年02月 +313,744円 (+31.37%)
最小:  2019年05月 -96,498円 (-9.65%)

月平均:  +80,431円 (+8.04%) (32ヶ月)
日平均:  +4,040円 (+0.4%) (637営業日)

