■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,862,702円 (+286.27%)

2017年: +771,314円 (+77.13%)
2018年: +1,964,114円 (+196.41%)
2019年: +127,273円 (+12.73%)

2017年04月: +61,499円 (+6.15%)
2017年05月: +32,436円 (+3.24%)
2017年06月: +77,327円 (+7.73%)
2017年07月: +78,507円 (+7.85%)
2017年08月: +79,365円 (+7.94%)
2017年09月: +64,370円 (+6.44%)
2017年10月: +99,670円 (+9.97%)
2017年11月: +156,561円 (+15.66%)
2017年12月: +121,576円 (+12.16%)
2018年01月: +165,511円 (+16.55%)
2018年02月: +288,487円 (+28.85%)
2018年03月: +183,959円 (+18.4%)
2018年04月: +85,786円 (+8.58%)
2018年05月: +83,784円 (+8.38%)
2018年06月: +110,748円 (+11.07%)
2018年07月: +156,973円 (+15.7%)
2018年08月: +205,393円 (+20.54%)
2018年09月: +96,069円 (+9.61%)
2018年10月: +205,332円 (+20.53%)
2018年11月: +40,410円 (+4.04%)
2018年12月: +341,656円 (+34.17%)
2019年01月: +38,327円 (+3.83%)
2019年02月: +78,671円 (+7.87%)
2019年03月: +45,894円 (+4.59%)
2019年04月: -32,472円 (-3.25%)
2019年05月: -14,960円 (-1.5%)
2019年06月: +49,156円 (+4.92%)
2019年07月: +8,468円 (+0.85%)
2019年08月: -66,569円 (-6.66%)
2019年09月: +18,325円 (+1.83%)
2019年10月: +11,479円 (+1.15%)
2019年11月: -9,046円 (-0.9%)

最大:  2018年12月 +341,656円 (+34.17%)
最小:  2019年08月 -66,569円 (-6.66%)

月平均:  +89,459円 (+8.95%) (32ヶ月)
日平均:  +4,494円 (+0.45%) (637営業日)

