■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,883,564円 (+288.36%)

2017年: +795,169円 (+79.52%)
2018年: +2,052,950円 (+205.3%)
2019年: +35,444円 (+3.54%)

2017年04月: +102,854円 (+10.29%)
2017年05月: +47,732円 (+4.77%)
2017年06月: +82,193円 (+8.22%)
2017年07月: +65,714円 (+6.57%)
2017年08月: +56,051円 (+5.61%)
2017年09月: +65,266円 (+6.53%)
2017年10月: +78,033円 (+7.8%)
2017年11月: +157,111円 (+15.71%)
2017年12月: +140,210円 (+14.02%)
2018年01月: +185,172円 (+18.52%)
2018年02月: +270,842円 (+27.08%)
2018年03月: +249,950円 (+25.0%)
2018年04月: +84,391円 (+8.44%)
2018年05月: +94,167円 (+9.42%)
2018年06月: +122,065円 (+12.21%)
2018年07月: +173,449円 (+17.34%)
2018年08月: +159,049円 (+15.9%)
2018年09月: +44,264円 (+4.43%)
2018年10月: +239,713円 (+23.97%)
2018年11月: +54,443円 (+5.44%)
2018年12月: +375,439円 (+37.54%)
2019年01月: +11,502円 (+1.15%)
2019年02月: +25,384円 (+2.54%)
2019年03月: +44,675円 (+4.47%)
2019年04月: -19,142円 (-1.91%)
2019年05月: -40,922円 (-4.09%)
2019年06月: +74,321円 (+7.43%)
2019年07月: +31,112円 (+3.11%)
2019年08月: -80,380円 (-8.04%)
2019年09月: -7,872円 (-0.79%)
2019年10月: -968円 (-0.1%)
2019年11月: -2,266円 (-0.23%)

最大:  2018年12月 +375,439円 (+37.54%)
最小:  2019年08月 -80,380円 (-8.04%)

月平均:  +90,111円 (+9.01%) (32ヶ月)
日平均:  +4,526円 (+0.45%) (637営業日)

