■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,914,701円 (+291.47%)

2017年: +785,637円 (+78.56%)
2018年: +2,079,655円 (+207.97%)
2019年: +49,408円 (+4.94%)

2017年04月: +41,088円 (+4.11%)
2017年05月: +72,045円 (+7.2%)
2017年06月: +83,072円 (+8.31%)
2017年07月: +54,461円 (+5.45%)
2017年08月: +34,041円 (+3.4%)
2017年09月: +71,652円 (+7.17%)
2017年10月: +101,614円 (+10.16%)
2017年11月: +175,785円 (+17.58%)
2017年12月: +151,875円 (+15.19%)
2018年01月: +187,269円 (+18.73%)
2018年02月: +270,842円 (+27.08%)
2018年03月: +213,308円 (+21.33%)
2018年04月: +75,476円 (+7.55%)
2018年05月: +76,483円 (+7.65%)
2018年06月: +87,455円 (+8.75%)
2018年07月: +173,823円 (+17.38%)
2018年08月: +207,089円 (+20.71%)
2018年09月: +56,752円 (+5.68%)
2018年10月: +321,978円 (+32.2%)
2018年11月: +40,677円 (+4.07%)
2018年12月: +368,497円 (+36.85%)
2019年01月: +30,720円 (+3.07%)
2019年02月: +54,468円 (+5.45%)
2019年03月: +66,092円 (+6.61%)
2019年04月: -21,124円 (-2.11%)
2019年05月: -26,018円 (-2.6%)
2019年06月: +15,822円 (+1.58%)
2019年07月: +26,587円 (+2.66%)
2019年08月: -74,040円 (-7.4%)
2019年09月: +35,417円 (+3.54%)
2019年10月: -26,483円 (-2.65%)
2019年11月: -32,033円 (-3.2%)

最大:  2018年12月 +368,497円 (+36.85%)
最小:  2019年08月 -74,040円 (-7.4%)

月平均:  +91,084円 (+9.11%) (32ヶ月)
日平均:  +4,575円 (+0.46%) (637営業日)

