■ サマリ：元手100万円, 信用(1.0倍)取引, 2017-04-03〜2019-11-08, SBIスタンダードプラン手数料考慮, 税引前, ロスカット未考慮
Total Profit_s/100: +2,962,984円 (+296.3%)

2017年: +810,191円 (+81.02%)
2018年: +2,045,081円 (+204.51%)
2019年: +107,712円 (+10.77%)

2017年04月: +108,006円 (+10.8%)
2017年05月: +69,218円 (+6.92%)
2017年06月: +78,808円 (+7.88%)
2017年07月: +74,519円 (+7.45%)
2017年08月: +54,256円 (+5.43%)
2017年09月: +93,056円 (+9.31%)
2017年10月: +93,508円 (+9.35%)
2017年11月: +112,550円 (+11.26%)
2017年12月: +126,266円 (+12.63%)
2018年01月: +188,998円 (+18.9%)
2018年02月: +313,744円 (+31.37%)
2018年03月: +215,559円 (+21.56%)
2018年04月: +101,420円 (+10.14%)
2018年05月: +79,781円 (+7.98%)
2018年06月: +97,354円 (+9.74%)
2018年07月: +187,404円 (+18.74%)
2018年08月: +185,240円 (+18.52%)
2018年09月: +72,852円 (+7.29%)
2018年10月: +264,822円 (+26.48%)
2018年11月: +73,446円 (+7.34%)
2018年12月: +264,454円 (+26.45%)
2019年01月: +35,013円 (+3.5%)
2019年02月: +21,614円 (+2.16%)
2019年03月: +66,514円 (+6.65%)
2019年04月: -11,982円 (-1.2%)
2019年05月: -54,850円 (-5.49%)
2019年06月: +16,551円 (+1.66%)
2019年07月: +99,408円 (+9.94%)
2019年08月: -97,487円 (-9.75%)
2019年09月: +30,476円 (+3.05%)
2019年10月: +22,846円 (+2.28%)
2019年11月: -20,392円 (-2.04%)

最大:  2018年02月 +313,744円 (+31.37%)
最小:  2019年08月 -97,487円 (-9.75%)

月平均:  +92,593円 (+9.26%) (32ヶ月)
日平均:  +4,651円 (+0.47%) (637営業日)

